date,rate_uah_per_usd
2014-01-01,7.993
2014-01-02,7.993
2014-01-03,7.993
2014-01-04,7.993
2014-01-05,7.993
2014-01-06,7.993
2014-01-07,7.993
2014-01-08,7.993
2014-01-09,7.993
2014-01-10,7.993
2014-01-11,7.993
2014-01-12,7.993
2014-01-13,7.993
2014-01-14,7.993
2014-01-15,7.993
2014-01-16,7.993
2014-01-17,7.993
2014-01-18,7.993
2014-01-19,7.993
2014-01-20,7.993
2014-01-21,7.993
2014-01-22,7.993
2014-01-23,7.993
2014-01-24,7.993
2014-01-25,7.993
2014-01-26,7.993
2014-01-27,7.993
2014-01-28,7.993
2014-01-29,7.993
2014-01-30,7.993
2014-01-31,7.993
2014-02-01,7.993
2014-02-02,7.993
2014-02-03,7.993
2014-02-04,7.993
2014-02-05,7.993
2014-02-06,7.993
2014-02-07,8.708
2014-02-08,8.708
2014-02-09,8.708
2014-02-10,8.5282
2014-02-11,8.5532
2014-02-12,8.5507
2014-02-13,8.5507
2014-02-14,8.6309
2014-02-15,8.6309
2014-02-16,8.6309
2014-02-17,8.6405
2014-02-18,8.6458
2014-02-19,8.6869
2014-02-20,8.7852
2014-02-21,8.838
2014-02-22,8.838
2014-02-23,8.838
2014-02-24,8.938
2014-02-25,9.0377
2014-02-26,9.4269
2014-02-27,9.5179
2014-02-28,9.9863
2014-03-01,9.9863
2014-03-02,9.9863
2014-03-03,9.6994
2014-03-04,9.9924
2014-03-05,9.7241
2014-03-06,9.4489
2014-03-07,9.3879
2014-03-08,9.3879
2014-03-09,9.3879
2014-03-10,9.3879
2014-03-11,9.2359
2014-03-12,9.2975
2014-03-13,9.2823
2014-03-14,9.4759
2014-03-15,9.4759
2014-03-16,9.4759
2014-03-17,9.6007
2014-03-18,9.7568
2014-03-19,9.9598
2014-03-20,9.9178
2014-03-21,10.1092
2014-03-22,10.1092
2014-03-23,10.1092
2014-03-24,10.1965
2014-03-25,10.3762
2014-03-26,10.5758
2014-03-27,10.6721
2014-03-28,10.8502
2014-03-29,10.8502
2014-03-30,10.8502
2014-03-31,10.9546
2014-04-01,10.9981
2014-04-02,11.1062
2014-04-03,11.2416
2014-04-04,11.601102
2014-04-05,11.601102
2014-04-06,11.601102
2014-04-07,11.650969
2014-04-08,11.728167
2014-04-09,11.878416
2014-04-10,12.617898
2014-04-11,12.569123
2014-04-12,12.569123
2014-04-13,12.569123
2014-04-14,12.97709
2014-04-15,12.385561
2014-04-16,11.39611
2014-04-17,11.252078
2014-04-18,11.227373
2014-04-19,11.227373
2014-04-20,11.227373
2014-04-21,11.227373
2014-04-22,11.247453
2014-04-23,11.51285
2014-04-24,11.384637
2014-04-25,11.383201
2014-04-26,11.383201
2014-04-27,11.383201
2014-04-28,11.357246
2014-04-29,11.408089
2014-04-30,11.401581
2014-05-01,11.401581
2014-05-02,11.401581
2014-05-03,11.401581
2014-05-04,11.401581
2014-05-05,11.4
2014-05-06,11.469576
2014-05-07,11.651347
2014-05-08,11.593833
2014-05-09,11.593833
2014-05-10,11.593833
2014-05-11,11.593833
2014-05-12,11.605445
2014-05-13,11.646656
2014-05-14,11.764521
2014-05-15,11.662983
2014-05-16,11.755194
2014-05-17,11.755194
2014-05-18,11.755194
2014-05-19,11.752057
2014-05-20,11.716147
2014-05-21,11.72321
2014-05-22,11.73046
2014-05-23,11.715143
2014-05-24,11.715143
2014-05-25,11.715143
2014-05-26,11.660821
2014-05-27,11.751152
2014-05-28,11.70977
2014-05-29,11.765592
2014-05-30,11.774997
2014-05-31,11.774997
2014-06-01,11.774997
2014-06-02,11.877564
2014-06-03,11.833307
2014-06-04,11.870105
2014-06-05,11.76026
2014-06-06,11.825829
2014-06-07,11.825829
2014-06-08,11.825829
2014-06-09,11.825829
2014-06-10,11.803521
2014-06-11,11.631239
2014-06-12,11.654663
2014-06-13,11.728837
2014-06-14,11.728837
2014-06-15,11.728837
2014-06-16,11.748094
2014-06-17,11.760444
2014-06-18,11.827596
2014-06-19,11.849877
2014-06-20,11.854613
2014-06-21,11.854613
2014-06-22,11.854613
2014-06-23,11.878272
2014-06-24,11.892063
2014-06-25,11.881919
2014-06-26,11.894782
2014-06-27,11.823346
2014-06-28,11.823346
2014-06-29,11.823346
2014-06-30,11.823346
2014-07-01,11.785498
2014-07-02,11.833402
2014-07-03,11.841109
2014-07-04,11.827096
2014-07-05,11.827096
2014-07-06,11.827096
2014-07-07,11.784505
2014-07-08,11.712292
2014-07-09,11.65813
2014-07-10,11.695741
2014-07-11,11.693814
2014-07-12,11.693814
2014-07-13,11.693814
2014-07-14,11.696248
2014-07-15,11.707174
2014-07-16,11.718072
2014-07-17,11.719709
2014-07-18,11.649106
2014-07-19,11.649106
2014-07-20,11.649106
2014-07-21,11.655592
2014-07-22,11.670029
2014-07-23,11.644375
2014-07-24,11.682867
2014-07-25,11.752797
2014-07-26,11.752797
2014-07-27,11.752797
2014-07-28,11.858383
2014-07-29,11.987694
2014-07-30,12.003188
2014-07-31,12.097248
2014-08-01,11.96328
2014-08-02,11.96328
2014-08-03,11.96328
2014-08-04,12.183059
2014-08-05,12.297591
2014-08-06,12.354879
2014-08-07,12.458546
2014-08-08,12.606756
2014-08-09,12.606756
2014-08-10,12.606756
2014-08-11,12.825978
2014-08-12,13.139331
2014-08-13,13.110661
2014-08-14,13.091686
2014-08-15,13.135491
2014-08-16,13.135491
2014-08-17,13.135491
2014-08-18,13.073311
2014-08-19,12.952576
2014-08-20,13.223077
2014-08-21,13.11279
2014-08-22,13.365434
2014-08-23,13.365434
2014-08-24,13.365434
2014-08-25,13.365434
2014-08-26,13.659408
2014-08-27,13.890974
2014-08-28,13.437484
2014-08-29,13.605777
2014-08-30,13.605777
2014-08-31,13.605777
2014-09-01,13.114112
2014-09-02,13.008652
2014-09-03,12.531031
2014-09-04,12.528758
2014-09-05,12.8222
2014-09-06,12.8222
2014-09-07,12.8222
2014-09-08,12.822103
2014-09-09,12.926071
2014-09-10,12.951794
2014-09-11,12.976598
2014-09-12,12.950082
2014-09-13,12.950082
2014-09-14,12.950082
2014-09-15,12.903103
2014-09-16,12.98817
2014-09-17,13.082315
2014-09-18,13.425024
2014-09-19,13.434133
2014-09-20,13.434133
2014-09-21,13.434133
2014-09-22,13.489709
2014-09-23,13.526129
2014-09-24,12.944226
2014-09-25,12.950572
2014-09-26,12.908793
2014-09-27,12.908793
2014-09-28,12.908793
2014-09-29,12.908176
2014-09-30,12.949185
2014-10-01,12.955218
2014-10-02,12.950006
2014-10-03,12.940496
2014-10-04,12.940496
2014-10-05,12.940496
2014-10-06,12.949049
2014-10-07,12.966295
2014-10-08,12.950205
2014-10-09,12.930817
2014-10-10,12.950023
2014-10-11,12.950023
2014-10-12,12.950023
2014-10-13,12.952882
2014-10-14,12.951459
2014-10-15,12.952038
2014-10-16,12.951445
2014-10-17,12.95122
2014-10-18,12.95122
2014-10-19,12.95122
2014-10-20,12.951166
2014-10-21,12.950582
2014-10-22,12.950077
2014-10-23,12.950488
2014-10-24,12.950353
2014-10-25,12.950353
2014-10-26,12.950353
2014-10-27,12.95044
2014-10-28,12.950945
2014-10-29,12.952482
2014-10-30,12.952788
2014-10-31,12.950684
2014-11-01,12.950684
2014-11-02,12.950684
2014-11-03,12.950746
2014-11-04,12.953953
2014-11-05,13.497012
2014-11-06,13.955672
2014-11-07,14.47066
2014-11-08,14.47066
2014-11-09,14.47066
2014-11-10,14.804225
2014-11-11,15.771363
2014-11-12,15.749624
2014-11-13,15.56
2014-11-14,15.412417
2014-11-15,15.412417
2014-11-16,15.412417
2014-11-17,15.335614
2014-11-18,15.26018
2014-11-19,15.20011
2014-11-20,15.146067
2014-11-21,15.09624
2014-11-22,15.09624
2014-11-23,15.09624
2014-11-24,15.060794
